ID,Density,Distance,Time,Gender,Age,MaritalStatus,HouseholdSize,CHS,OcR,IncomeT,METT,BLanes,MBus,M_motocycle,M_car,tricycle_taxi,taxi,HND,Degree,Posgraduate
298,1,15.0,20,1,26,1,2,7,0,0.52,0.07,1,1,0,0,0,0,0,0,0
303,0,1.7,20,0,29,0,4,3,0,0.5,0.06,1,1,1,0,0,0,0,0,0
27,1,14.0,35,1,34,0,6,4,1,3.6,0.7,1,0,0,0,0,0,0,1,0
290,1,8.0,20,1,34,1,1,0,0,1.4,0.1,0,0,1,0,0,0,1,0,0
13,1,2.0,5,1,46,0,6,4,1,3.25,0.25,0,0,0,0,0,0,0,1,0
222,0,2.0,12,0,35,0,3,0,0,1.0,0.06,1,0,0,0,1,0,0,0,0
164,1,1.0,2,1,41,0,5,3,0,1.3,0.075,1,0,1,0,0,0,1,0,0
86,0,9.5,30,1,29,0,2,0,0,0.98,0.2,1,0,1,0,0,0,0,0,0
32,1,5.0,12,1,35,0,7,4,1,3.56,0.5,1,1,0,0,0,0,0,1,0
144,1,5.4,15,1,24,1,1,0,0,1.2,0.15,0,1,1,0,0,0,1,0,0
92,0,16.5,60,1,27,1,7,3,0,0.7,0.2,0,0,1,0,0,0,0,0,0
320,1,5.6,17,0,36,0,4,2,0,1.35,0.4,1,0,0,0,0,0,1,0,0
422,1,2.5,15,0,25,1,1,0,0,0.85,0.04,1,1,0,0,1,0,0,0,0
185,1,10.0,30,0,25,1,1,0,0,0.67,0.1,1,1,1,0,0,0,0,0,0
239,1,5.0,45,1,25,1,7,4,0,0.65,0.3,0,1,0,0,0,1,0,0,0
379,0,2.0,25,0,32,0,4,2,0,1.6,0.08,1,0,1,0,0,0,0,0,0
348,1,2.8,10,0,29,0,3,1,0,0.7,0.1,1,1,0,1,0,0,0,0,0
184,1,8.2,25,0,24,1,6,3,0,0.55,0.08,1,0,0,0,1,0,0,0,0
77,1,5.0,30,1,36,0,2,8,0,0.95,0.06,1,0,1,0,0,0,0,0,1
299,1,5.2,30,0,33,0,6,4,1,1.65,0.8,0,0,1,0,0,0,1,0,0
428,1,4.8,30,1,58,0,8,2,1,3.5,0.3,0,0,0,0,0,0,0,1,0
252,1,6.0,45,1,37,0,5,2,1,2.5,0.3,1,1,0,0,0,0,0,1,0
